"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 18, 2017","1,241.10","1,236.20","1,241.20","1,236.20","0.03K","0.67%"
"Jul 17, 2017","1,232.80","1,229.90","1,233.40","1,229.90","0.01K","0.51%"
"Jul 14, 2017","1,226.60","1,214.90","1,227.50","1,214.80","0.02K","0.85%"
"Jul 13, 2017","1,216.30","1,221.40","1,221.40","1,216.50","0.01K","-0.15%"
"Jul 12, 2017","1,218.10","1,218.30","1,219.40","1,217.90","0.01K","0.37%"
"Jul 11, 2017","1,213.60","1,208.70","1,214.90","1,208.70","0.01K","0.12%"
"Jul 10, 2017","1,212.10","1,211.40","1,212.00","1,209.60","0.03K","0.29%"
"Jul 07, 2017","1,208.60","1,219.10","1,220.40","1,213.20","0.12K","-1.11%"
"Jul 06, 2017","1,222.20","1,225.10","1,225.10","1,222.40","0.01K","0.15%"
"Jul 05, 2017","1,220.40","1,222.50","1,225.00","1,217.10","0.04K","-0.58%"
"Jul 04, 2017","1,227.55","1,224.30","1,228.03","1,221.49","-","0.79%"
"Jul 03, 2017","1,217.90","1,236.00","1,236.00","1,218.30","0.03K","-1.84%"
"Jun 30, 2017","1,240.70","1,243.70","1,243.70","1,239.10","0.04K","-0.28%"
"Jun 29, 2017","1,244.20","1,248.20","1,250.70","1,238.10","0.54K","-0.30%"
"Jun 28, 2017","1,248.00","1,248.50","1,248.50","1,248.50","0.01K","0.13%"
"Jun 27, 2017","1,246.40","1,251.60","1,251.80","1,245.90","0.11K","0.01%"
"Jun 26, 2017","1,246.30","1,260.20","1,260.20","1,241.60","0.19K","-0.79%"
"Jun 23, 2017","1,256.20","1,250.00","1,273.60","1,249.80","0.27K","0.69%"
"Jun 22, 2017","1,247.60","1,251.00","1,252.70","1,246.30","0.16K","0.34%"
"Jun 21, 2017","1,243.40","1,244.10","1,245.00","1,240.00","0.21K","0.19%"
"Jun 20, 2017","1,241.00","1,242.20","1,245.50","1,240.50","0.08K","-0.26%"
"Jun 19, 2017","1,244.20","1,252.10","1,252.20","1,241.90","0.11K","-0.78%"
"Jun 16, 2017","1,254.00","1,252.80","1,255.30","1,251.30","0.03K","0.14%"
"Jun 15, 2017","1,252.20","1,263.20","1,264.20","1,250.30","0.74K","-1.62%"
"Jun 14, 2017","1,272.80","1,269.40","1,278.00","1,256.80","0.34K","0.55%"
"Jun 13, 2017","1,265.80","1,264.10","1,266.90","1,259.70","0.15K","-0.02%"
"Jun 12, 2017","1,266.10","1,266.40","1,269.30","1,263.20","0.26K","-0.19%"
"Jun 09, 2017","1,268.50","1,277.90","1,277.90","1,264.60","0.47K","-0.61%"
"Jun 08, 2017","1,276.30","1,285.40","1,287.60","1,268.10","0.32K","-1.07%"
"Jun 07, 2017","1,290.10","1,291.60","1,293.10","1,284.30","0.64K","-0.33%"
"Jun 06, 2017","1,294.40","1,279.40","1,295.20","1,279.40","0.94K","1.18%"
"Jun 05, 2017","1,279.30","1,279.20","1,282.00","1,277.00","0.43K","0.20%"
"Jun 02, 2017","1,276.80","1,265.20","1,279.00","1,259.00","1.73K","0.77%"
